A_ZEE,hep-th/0508039|cond-mat/9711223|cond-mat/9602146|cond-mat/9703087|hep-th/0004124|hep-th/0610231|hep-th/9610009|physics/0510102|cond-mat/0104072|hep-th/0406142|hep-th/0403064|cond-mat/9603173|0805.2183|hep-th/0109045|cond-mat/9704191|cond-mat/9906135|cond-mat/9609190|hep-th/9412230|cond-mat/9505083|0712.0448|hep-th/9610054|cond-mat/0202166|cond-mat/0106359|1007.2971|cond-mat/9507112|cond-mat/9507032|0910.3716|cond-mat/9511104|hep-th/0309032|hep-th/0606062|0807.0612|1106.0333|cond-mat/9710040|cond-mat/9407114|hep-ph/0508278|cond-mat/9409095|hep-th/0004206
P_HORAVA,hep-th/9608019|hep-th/9510209|hep-th/9507060|0704.2230|hep-th/9812135|hep-th/0103171|0901.3775|hep-th/9811028|1101.1081|hep-th/9603142|hep-th/9110067|0706.2873|hep-th/0502127|hep-th/0512325|0811.2217|hep-th/9302020|0812.4287|hep-th/9202008|1112.5660|0709.2162|hep-th/0405019|0909.3841|hep-th/0508024|hep-th/0001145|hep-th/0001143|hep-th/0002073|0902.3657|1003.0009|hep-th/9309124|1007.2410|0709.3296|hep-th/9902160|hep-th/0212087|1111.6634|hep-th/0501233|hep-th/9712130|hep-th/9311156|hep-th/0503006|hep-th/9404101|hep-th/9203031|hep-th/9705055
J_GUNION,hep-ph/0610105|hep-ph/9910456|hep-ph/9704349|hep-ph/9607421|hep-ph/0304241
P_KRAUS,1003.1302|hep-th/0408186|gr-qc/9408003|1202.2085|hep-th/0105227|hep-th/0304138|1105.3998|hep-th/9709199|hep-th/0606230|hep-th/9805171|hep-th/0206080|hep-th/0506176|1012.5072|hep-th/0208003|hep-th/0506015|hep-th/0508218|0705.1847|hep-th/9808017|hep-th/0010016|hep-th/0503219|0805.4643|hep-th/0002117|hep-th/0110035|hep-th/0203221|hep-th/0212277|hep-th/9607200|0811.3468|0911.4518|hep-th/0404039|hep-th/0308047|0801.1863|hep-th/9811120|hep-th/0607138|hep-th/9804067|hep-th/0303104|hep-th/9705003|0708.0589|hep-th/0402109|hep-th/0005031|0907.2739|hep-th/9906127|hep-th/0402144|0905.4538|hep-th/0311181|1108.2567|hep-th/0010060|hep-th/9709122|hep-th/0001143|hep-ph/9601279|hep-th/0504142|hep-th/0508110|hep-th/0503053|hep-th/9910149|1106.4788|hep-th/9903190|hep-th/0609074|0908.3875|1103.4304|0708.1001|hep-th/9411219|hep-th/0012198|hep-th/9604151|hep-th/0703087|hep-th/0008064|1102.1727|1111.3926|0809.1876|hep-th/9706196|gr-qc/9406042|hep-th/9712013|hep-th/9902121|hep-th/9610045|1006.2573|hep-th/0702072
S_PROFUMO,0812.4457|hep-th/0203155|hep-th/0211060|0907.4374|hep-ph/0304071|hep-ph/0306119|0909.1317|0911.0687|hep-ph/0701197|1104.5487|1006.1440|1204.5464|hep-th/0111285
Y_NOMURA,1110.4630|hep-ph/0202107|1008.5153|astro-ph/0405596|hep-ph/0305214|0910.2235|hep-ph/0209158|hep-ph/0212134|0902.2263|hep-ph/0105113|hep-ph/0110102|hep-ph/0011311|hep-ph/0102090|hep-ph/0403170|hep-ph/0403171|hep-ph/0012103|hep-th/0107004|0712.2454|hep-th/0107245|hep-ph/0408329|hep-ph/0612186|hep-th/0302192|astro-ph/0503706|hep-ph/0605014|hep-ph/0701231|1002.1967|1203.6876|0810.5397|hep-ph/0509039|hep-ph/0306259|hep-ph/0104041|hep-ph/0106190|hep-ph/0108071|hep-ph/0611249|1111.4519|hep-ph/0309189|0709.4060|1104.2324|0809.4492|1107.3556|0905.3749|hep-ph/0107331|hep-ph/0210257|hep-ph/0111068|hep-ph/0312247|0912.3942|hep-ph/0108170|hep-ph/0410348|hep-ph/0103125|0709.0775
V_VARADARAJAN,hep-th/0010124|hep-th/0612210|hep-th/9803175|math/0609813|hep-th/0111105|hep-th/0501061|math/0406196
M_MARINO,0912.3074|hep-th/0211098|1105.2012|math/0506488|math/0104180|0807.0597|hep-th/9907165|0711.1954|0911.3076|hep-th/0612127|1110.4066|hep-th/0006189|hep-th/0512227|0812.1195|hep-th/9805172|hep-th/0206164|hep-th/0411227|1011.6281|1002.3634|0805.3033|0704.2440|hep-th/9808131|hep-th/0405083|hep-th/0207096|hep-th/0606120|hep-th/9804104|1104.0783|hep-th/0006113|hep-th/9704032|0911.4692|hep-th/0509002|hep-th/0702187|hep-th/9911115|hep-th/9811214|hep-th/9405151|0904.1088|0809.2572|hep-th/0605041|hep-th/0211216|hep-th/0009148|0709.1453|hep-th/0011227|1103.4844|hep-th/9606191|math/9812042|hep-th/9712062|0709.1458|0809.2619|1002.3846|hep-th/0108064|hep-th/0103089|0810.4273|hep-th/0010108|physics/0110047|1010.1210|hep-th/9707017|hep-th/0010102|hep-th/9604004|hep-th/0410165|hep-th/9606168|hep-th/9702054|hep-th/9804038|1007.3837|hep-th/0702110|hep-th/9905053|hep-th/9701128|hep-th/0406005|1001.2542|hep-th/0112231|hep-th/9802185|hep-th/0312085|hep-th/0008100|hep-th/9911206|hep-th/0305132|hep-th/0004196|hep-th/0210145|hep-th/0404125|hep-th/9703072|hep-th/9812055
J_CORNWALL,1203.6618|hep-th/9901039|hep-th/9911125|hep-th/0205257|hep-th/9710128|hep-th/9806007|hep-th/9511015|hep-th/0304182|hep-th/9712248|hep-th/9605116|hep-th/0406084|hep-th/9704022|hep-th/0601090|1111.0322|hep-ph/9506293|hep-th/0112230|hep-th/0305101|hep-th/0702054|hep-th/9602157|hep-th/9701004|hep-ph/9408274|hep-th/0101142
R_FINKELSTEIN,1011.0764|hep-th/9906136|hep-th/9906135|hep-th/0006155|0806.3105|hep-th/0110075|hep-th/0402165|0901.1687|1108.0438|hep-th/0003189|hep-th/0701124|0705.3656|hep-th/9908210|0712.0856|0708.2288|hep-th/0206021|hep-th/0206067|hep-th/0602098|hep-th/0507022|0912.3552|hep-th/0010089|hep-th/0311192|hep-th/0408218|hep-th/0106283|1011.2545
